"spec","long","lat","bio1","bio12","bio15","bio16","bio18","bio5","bio6","bio8"
"variegata_83",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"variegata_83",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"cryptantha_83",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_83",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"variegata_83",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"variegata_83",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"variegata_83",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"variegata_83",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"variegata_83",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"variegata_83",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"variegata_83",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"variegata_83",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_83",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_83",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"variegata_83",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"variegata_83",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"variegata_83",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"variegata_83",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"variegata_83",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
"variegata_83",-41.100556,-20.519167,77,1738,169,109,64,246,179,164
"cryptantha_83",-41.083611,-20.516111,77,1738,169,109,64,246,179,164
"cryptantha_83",-40.551111,-19.348333,155,1568,155,104,67,310,246,234
"variegata_83",-40.980014,-20.411644,91,1727,167,107,64,258,192,177
"variegata_83",-40.473889,-19.907944,139,1648,152,97,63,291,229,215
"variegata_83",-40.472222,-19.914167,139,1648,152,97,63,291,229,215
"variegata_83",-40.775,-19.797222,125,1665,163,107,65,288,223,209
"variegata_83",-40.7775,-19.8025,125,1665,163,107,65,288,223,209
"cryptantha_83",-40.981111,-19.741389,122,1706,171,112,65,293,225,211
"variegata_83",-40.824722,-19.888889,134,1689,164,107,65,298,233,219
"variegata_83",-41.439444,-20.868333,119,1895,180,115,63,299,229,212
"variegata_83",-41.554944,-20.945083,91,1889,182,119,65,273,203,187
"variegata_83",-41.545833,-20.940556,91,1889,182,119,65,273,203,187
"variegata_83",-40.4575,-18.77,160,1510,150,103,68,310,247,236
"cryptantha_83",-40.443889,-18.776944,160,1510,150,103,68,310,247,236
"variegata_83",-40.4625,-18.7669,164,1481,151,103,68,315,251,239
"variegata_83",-40.4625,-18.766944,164,1481,151,103,68,315,251,239
"variegata_83",-40.614444,-20.173056,126,1675,155,98,63,281,219,204
"variegata_83",-40.604167,-19.780556,158,1655,157,102,64,315,251,237
"variegata_83",-40.814722,-19.897778,134,1689,164,107,65,298,233,219
"variegata_83",-40.739444,-19.760833,152,1692,162,106,65,314,248,234
"variegata_83",-40.319167,-20.17,175,1662,135,81,60,310,254,240
"variegata_83",-40.328889,-20.191111,175,1662,135,81,60,310,254,240
"variegata_83",-41.008089,-20.436427,87,1710,169,108,63,256,189,174
"variegata_83",-42.475278,-20.700278,62,1865,181,120,66,243,177,160
"variegata_83",-44.466667,-20.733333,89,1883,182,123,67,271,206,191
"variegata_83",-42.0175,-21.9675,99,2112,170,102,60,269,206,189
"variegata_83",-58.0175,-21.9675,146,2982,197,114,57,343,281,249
"variegata_84",-45.44222222,-18.78777778,123,1636,186,131,70,309,242,231
"variegata_84",-43.552778,-18.355,105,1739,173,107,61,278,206,191
"variegata_84",-43.620417,-18.1543,109,1729,173,107,61,282,210,195
"variegata_84",-43.588711,-18.239956,107,1704,170,103,60,277,203,189
"variegata_84",-43.627794,-18.195092,108,1713,172,106,61,280,207,193
"variegata_84",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"cryptantha_84",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"variegata_84",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_84",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"variegata_84",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"variegata_84",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"variegata_84",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"variegata_84",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"variegata_84",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"variegata_84",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"variegata_84",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"variegata_84",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_84",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_84",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"variegata_84",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"variegata_84",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"variegata_84",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"cryptantha_84",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"variegata_84",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
"variegata_84",-41.100556,-20.519167,77,1738,169,109,64,246,179,164
"variegata_84",-41.083611,-20.516111,77,1738,169,109,64,246,179,164
"variegata_84",-40.551111,-19.348333,155,1568,155,104,67,310,246,234
"variegata_84",-40.980014,-20.411644,91,1727,167,107,64,258,192,177
"variegata_84",-40.473889,-19.907944,139,1648,152,97,63,291,229,215
"variegata_84",-40.472222,-19.914167,139,1648,152,97,63,291,229,215
"variegata_84",-40.775,-19.797222,125,1665,163,107,65,288,223,209
"variegata_84",-40.7775,-19.8025,125,1665,163,107,65,288,223,209
"variegata_84",-40.981111,-19.741389,122,1706,171,112,65,293,225,211
"variegata_84",-40.824722,-19.888889,134,1689,164,107,65,298,233,219
"variegata_84",-41.439444,-20.868333,119,1895,180,115,63,299,229,212
"variegata_84",-41.554944,-20.945083,91,1889,182,119,65,273,203,187
"variegata_84",-41.545833,-20.940556,91,1889,182,119,65,273,203,187
"variegata_84",-40.4575,-18.77,160,1510,150,103,68,310,247,236
"cryptantha_84",-40.443889,-18.776944,160,1510,150,103,68,310,247,236
"variegata_84",-40.4625,-18.7669,164,1481,151,103,68,315,251,239
"variegata_84",-40.4625,-18.766944,164,1481,151,103,68,315,251,239
"variegata_84",-40.614444,-20.173056,126,1675,155,98,63,281,219,204
"variegata_84",-40.604167,-19.780556,158,1655,157,102,64,315,251,237
"variegata_84",-40.814722,-19.897778,134,1689,164,107,65,298,233,219
"cryptantha_84",-40.739444,-19.760833,152,1692,162,106,65,314,248,234
"variegata_84",-40.319167,-20.17,175,1662,135,81,60,310,254,240
"variegata_84",-40.328889,-20.191111,175,1662,135,81,60,310,254,240
"cryptantha_84",-41.008089,-20.436427,87,1710,169,108,63,256,189,174
"cryptantha_84",-42.475278,-20.700278,62,1865,181,120,66,243,177,160
"variegata_84",-44.466667,-20.733333,89,1883,182,123,67,271,206,191
"variegata_84",-42.0175,-21.9675,99,2112,170,102,60,269,206,189
"variegata_84",-58.0175,-21.9675,146,2982,197,114,57,343,281,249
"variegata_85",-45.44222222,-18.78777778,123,1636,186,131,70,309,242,231
"variegata_85",-43.552778,-18.355,105,1739,173,107,61,278,206,191
"variegata_85",-43.620417,-18.1543,109,1729,173,107,61,282,210,195
"variegata_85",-43.588711,-18.239956,107,1704,170,103,60,277,203,189
"variegata_85",-43.627794,-18.195092,108,1713,172,106,61,280,207,193
"cryptantha_85",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"variegata_85",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"variegata_85",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_85",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"cryptantha_85",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"variegata_85",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"variegata_85",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"variegata_85",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"variegata_85",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"variegata_85",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"variegata_85",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"cryptantha_85",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_85",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_85",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"variegata_85",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"variegata_85",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"variegata_85",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"variegata_85",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"cryptantha_85",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
"variegata_85",-41.100556,-20.519167,77,1738,169,109,64,246,179,164
"variegata_85",-41.083611,-20.516111,77,1738,169,109,64,246,179,164
"variegata_85",-40.551111,-19.348333,155,1568,155,104,67,310,246,234
"variegata_85",-40.980014,-20.411644,91,1727,167,107,64,258,192,177
"variegata_85",-40.473889,-19.907944,139,1648,152,97,63,291,229,215
"variegata_85",-40.472222,-19.914167,139,1648,152,97,63,291,229,215
"variegata_85",-40.775,-19.797222,125,1665,163,107,65,288,223,209
"variegata_85",-40.7775,-19.8025,125,1665,163,107,65,288,223,209
"variegata_85",-40.981111,-19.741389,122,1706,171,112,65,293,225,211
"variegata_85",-40.824722,-19.888889,134,1689,164,107,65,298,233,219
"variegata_85",-41.439444,-20.868333,119,1895,180,115,63,299,229,212
"variegata_85",-41.554944,-20.945083,91,1889,182,119,65,273,203,187
"variegata_85",-41.545833,-20.940556,91,1889,182,119,65,273,203,187
"variegata_85",-40.4575,-18.77,160,1510,150,103,68,310,247,236
"cryptantha_85",-40.443889,-18.776944,160,1510,150,103,68,310,247,236
"variegata_85",-40.4625,-18.7669,164,1481,151,103,68,315,251,239
"variegata_85",-40.4625,-18.766944,164,1481,151,103,68,315,251,239
"cryptantha_85",-40.614444,-20.173056,126,1675,155,98,63,281,219,204
"variegata_85",-40.604167,-19.780556,158,1655,157,102,64,315,251,237
"variegata_85",-40.814722,-19.897778,134,1689,164,107,65,298,233,219
"variegata_85",-40.739444,-19.760833,152,1692,162,106,65,314,248,234
"variegata_85",-40.319167,-20.17,175,1662,135,81,60,310,254,240
"variegata_85",-40.328889,-20.191111,175,1662,135,81,60,310,254,240
"variegata_85",-41.008089,-20.436427,87,1710,169,108,63,256,189,174
"variegata_85",-42.475278,-20.700278,62,1865,181,120,66,243,177,160
"variegata_85",-44.466667,-20.733333,89,1883,182,123,67,271,206,191
"variegata_85",-42.0175,-21.9675,99,2112,170,102,60,269,206,189
"variegata_85",-58.0175,-21.9675,146,2982,197,114,57,343,281,249
"variegata_86",-45.44222222,-18.78777778,123,1636,186,131,70,309,242,231
"variegata_86",-43.552778,-18.355,105,1739,173,107,61,278,206,191
"variegata_86",-43.620417,-18.1543,109,1729,173,107,61,282,210,195
"variegata_86",-43.588711,-18.239956,107,1704,170,103,60,277,203,189
"variegata_86",-43.627794,-18.195092,108,1713,172,106,61,280,207,193
"variegata_86",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"cryptantha_86",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"variegata_86",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_86",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"variegata_86",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"variegata_86",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"variegata_86",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"variegata_86",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"variegata_86",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"variegata_86",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"variegata_86",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"variegata_86",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_86",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_86",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"variegata_86",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"variegata_86",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"variegata_86",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"variegata_86",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"variegata_86",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
"variegata_86",-41.100556,-20.519167,77,1738,169,109,64,246,179,164
"variegata_86",-41.083611,-20.516111,77,1738,169,109,64,246,179,164
"variegata_86",-40.551111,-19.348333,155,1568,155,104,67,310,246,234
"variegata_86",-40.980014,-20.411644,91,1727,167,107,64,258,192,177
"variegata_86",-40.473889,-19.907944,139,1648,152,97,63,291,229,215
"cryptantha_86",-40.472222,-19.914167,139,1648,152,97,63,291,229,215
"cryptantha_86",-40.775,-19.797222,125,1665,163,107,65,288,223,209
"variegata_86",-40.7775,-19.8025,125,1665,163,107,65,288,223,209
"variegata_86",-40.981111,-19.741389,122,1706,171,112,65,293,225,211
"cryptantha_86",-40.824722,-19.888889,134,1689,164,107,65,298,233,219
"variegata_86",-41.439444,-20.868333,119,1895,180,115,63,299,229,212
"variegata_86",-41.554944,-20.945083,91,1889,182,119,65,273,203,187
"variegata_86",-41.545833,-20.940556,91,1889,182,119,65,273,203,187
"variegata_86",-40.4575,-18.77,160,1510,150,103,68,310,247,236
"variegata_86",-40.443889,-18.776944,160,1510,150,103,68,310,247,236
"variegata_86",-40.4625,-18.7669,164,1481,151,103,68,315,251,239
"variegata_86",-40.4625,-18.766944,164,1481,151,103,68,315,251,239
"variegata_86",-40.614444,-20.173056,126,1675,155,98,63,281,219,204
"variegata_86",-40.604167,-19.780556,158,1655,157,102,64,315,251,237
"cryptantha_86",-40.814722,-19.897778,134,1689,164,107,65,298,233,219
"variegata_86",-40.739444,-19.760833,152,1692,162,106,65,314,248,234
"variegata_86",-40.319167,-20.17,175,1662,135,81,60,310,254,240
"variegata_86",-40.328889,-20.191111,175,1662,135,81,60,310,254,240
"variegata_86",-41.008089,-20.436427,87,1710,169,108,63,256,189,174
"variegata_86",-42.475278,-20.700278,62,1865,181,120,66,243,177,160
"variegata_86",-44.466667,-20.733333,89,1883,182,123,67,271,206,191
"cryptantha_86",-42.0175,-21.9675,99,2112,170,102,60,269,206,189
"variegata_86",-58.0175,-21.9675,146,2982,197,114,57,343,281,249
"variegata_87",-45.44222222,-18.78777778,123,1636,186,131,70,309,242,231
"variegata_87",-43.552778,-18.355,105,1739,173,107,61,278,206,191
"variegata_87",-43.620417,-18.1543,109,1729,173,107,61,282,210,195
"variegata_87",-43.588711,-18.239956,107,1704,170,103,60,277,203,189
"cryptantha_87",-43.627794,-18.195092,108,1713,172,106,61,280,207,193
"variegata_87",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"variegata_87",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"variegata_87",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_87",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"variegata_87",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"variegata_87",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"cryptantha_87",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"variegata_87",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"cryptantha_87",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"variegata_87",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"variegata_87",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"variegata_87",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_87",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_87",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"cryptantha_87",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"variegata_87",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"cryptantha_87",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"variegata_87",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"variegata_87",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
"variegata_87",-41.100556,-20.519167,77,1738,169,109,64,246,179,164
"variegata_87",-41.083611,-20.516111,77,1738,169,109,64,246,179,164
"variegata_87",-40.551111,-19.348333,155,1568,155,104,67,310,246,234
"variegata_87",-40.980014,-20.411644,91,1727,167,107,64,258,192,177
"variegata_87",-40.473889,-19.907944,139,1648,152,97,63,291,229,215
"variegata_87",-40.472222,-19.914167,139,1648,152,97,63,291,229,215
"variegata_87",-40.775,-19.797222,125,1665,163,107,65,288,223,209
"variegata_87",-40.7775,-19.8025,125,1665,163,107,65,288,223,209
"variegata_87",-40.981111,-19.741389,122,1706,171,112,65,293,225,211
"variegata_87",-40.824722,-19.888889,134,1689,164,107,65,298,233,219
"variegata_87",-41.439444,-20.868333,119,1895,180,115,63,299,229,212
"cryptantha_87",-41.554944,-20.945083,91,1889,182,119,65,273,203,187
"variegata_87",-41.545833,-20.940556,91,1889,182,119,65,273,203,187
"variegata_87",-40.4575,-18.77,160,1510,150,103,68,310,247,236
"variegata_87",-40.443889,-18.776944,160,1510,150,103,68,310,247,236
"variegata_87",-40.4625,-18.7669,164,1481,151,103,68,315,251,239
"variegata_87",-40.4625,-18.766944,164,1481,151,103,68,315,251,239
"variegata_87",-40.614444,-20.173056,126,1675,155,98,63,281,219,204
"variegata_87",-40.604167,-19.780556,158,1655,157,102,64,315,251,237
"variegata_87",-40.814722,-19.897778,134,1689,164,107,65,298,233,219
"variegata_87",-40.739444,-19.760833,152,1692,162,106,65,314,248,234
"variegata_87",-40.319167,-20.17,175,1662,135,81,60,310,254,240
"variegata_87",-40.328889,-20.191111,175,1662,135,81,60,310,254,240
"variegata_87",-41.008089,-20.436427,87,1710,169,108,63,256,189,174
"variegata_87",-42.475278,-20.700278,62,1865,181,120,66,243,177,160
"variegata_87",-44.466667,-20.733333,89,1883,182,123,67,271,206,191
"variegata_87",-42.0175,-21.9675,99,2112,170,102,60,269,206,189
"variegata_87",-58.0175,-21.9675,146,2982,197,114,57,343,281,249
"variegata_88",-45.44222222,-18.78777778,123,1636,186,131,70,309,242,231
"variegata_88",-43.552778,-18.355,105,1739,173,107,61,278,206,191
"variegata_88",-43.620417,-18.1543,109,1729,173,107,61,282,210,195
"variegata_88",-43.588711,-18.239956,107,1704,170,103,60,277,203,189
"variegata_88",-43.627794,-18.195092,108,1713,172,106,61,280,207,193
"variegata_88",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"variegata_88",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"variegata_88",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_88",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"variegata_88",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"variegata_88",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"variegata_88",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"variegata_88",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"variegata_88",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"variegata_88",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"variegata_88",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"cryptantha_88",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_88",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_88",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"variegata_88",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"variegata_88",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"variegata_88",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"variegata_88",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"cryptantha_88",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
"variegata_88",-41.100556,-20.519167,77,1738,169,109,64,246,179,164
"variegata_88",-41.083611,-20.516111,77,1738,169,109,64,246,179,164
"variegata_88",-40.551111,-19.348333,155,1568,155,104,67,310,246,234
"variegata_88",-40.980014,-20.411644,91,1727,167,107,64,258,192,177
